school_name,team_id,logo_url,local_path,filename
Bentley,225,https://s3.amazonaws.com/cstest/mb/2025/12/f597bd3e-3682-4409-a1fc-a350a7f968d6.jpg.220x220_q95.jpg,school_logos/Bentley_225.jpg,Bentley_225.jpg
Biola,384,https://s3.amazonaws.com/cstest/mb/2019/08/be3e025d-e725-4a.png.220x220_q95.png,school_logos/Biola_384.png,Biola_384.png
Bloomsburg,227,https://s3.amazonaws.com/cstest/teams/227/bloomsburg-university-logo.jpg.220x220_q95.jpg,school_logos/Bloomsburg_227.jpg,Bloomsburg_227.jpg
Carson-Newman,10003343,https://s3.amazonaws.com/cstest/teams/Carson_Newman_Logo.jpg.220x220_q95.jpg,school_logos/Carson-Newman_10003343.jpg,Carson-Newman_10003343.jpg
Catawba,201,https://s3.amazonaws.com/cstest/mb/2023/06/317a8e5a-32ee-4b66-9762-49daa86b14be.jpg.220x220_q95.jpg,school_logos/Catawba_201.jpg,Catawba_201.jpg
Chowan,10007086,https://s3.amazonaws.com/cstest/teams/10007086/chowan-university-logo.jpg.220x220_q95.jpg,school_logos/Chowan_10007086.jpg,Chowan_10007086.jpg
Clarion,114,https://s3.amazonaws.com/cstest/teams/114/clarion-university-logo.jpg.220x220_q95.jpg,school_logos/Clarion_114.jpg,Clarion_114.jpg
Staten Island,312,https://s3.amazonaws.com/cstest/teams/Staten_Island.jpg.220x220_q95.jpg,school_logos/Staten_Island_312.jpg,Staten_Island_312.jpg
Colorado Mesa,517,https://s3.amazonaws.com/cstest/mb/2021/08/cc69f142-3c00-4f66-b4a8-bca7ef17af18.jpg.220x220_q95.jpg,school_logos/Colorado_Mesa_517.jpg,Colorado_Mesa_517.jpg
Colorado Mines,50,https://s3.amazonaws.com/cstest/mb/2016/11/Blaster.png.220x220_q95.png,school_logos/Colorado_Mines_50.png,Colorado_Mines_50.png
Concordia,542,https://s3.amazonaws.com/cstest/mb/2022/08/190df227-4878-4ac9-8c12-14fe8cdf6b6b.jpg.220x220_q95.jpg,school_logos/Concordia_542.jpg,Concordia_542.jpg
Converse,8475,https://s3.amazonaws.com/cstest/teams/8475/converse-college-logo.png.220x220_q95.png,school_logos/Converse_8475.png,Converse_8475.png
Davenport,10012529,https://s3.amazonaws.com/cstest/mb/2018/07/bc01cbee-84e5-42.png.220x220_q95.png,school_logos/Davenport_10012529.png,Davenport_10012529.png
Davis and Elkins,628,https://s3.amazonaws.com/cstest/mb/2016/08/DE.jpg.220x220_q95.jpg,school_logos/Davis_and_Elkins_628.jpg,Davis_and_Elkins_628.jpg
Delta State,48,https://s3.amazonaws.com/cstest/teams/DeltaState.jpg.220x220_q95.jpg,school_logos/Delta_State_48.jpg,Delta_State_48.jpg
Drury,122,https://s3.amazonaws.com/cstest/teams/Drury.jpg.220x220_q95.jpg,school_logos/Drury_122.jpg,Drury_122.jpg
Emmanuel,10003592,https://s3.amazonaws.com/cstest/teams/10003592/emmanuel-college-logo.jpg.220x220_q95.jpg,school_logos/Emmanuel_10003592.jpg,Emmanuel_10003592.jpg
Fairmont State,205,https://s3.amazonaws.com/cstest/mb/2020/09/2018_Fairmont_State_Logo_Mark_Maroon.png.220x220_q95.png,school_logos/Fairmont_State_205.png,Fairmont_State_205.png
Felician,10028852,https://s3.amazonaws.com/cstest/mb/2021/11/Felician.png.220x220_q95.png,school_logos/Felician_10028852.png,Felician_10028852.png
Florida Southern,354,https://s3.amazonaws.com/cstest/teams/FloridaSouthern.jpg.220x220_q95.jpg,school_logos/Florida_Southern_354.jpg,Florida_Southern_354.jpg
Florida Tech,10001800,https://s3.amazonaws.com/cstest/mb/2024/05/25d3b0f2-719e-407f-b656-d14ea5194e07.jpg.220x220_q95.jpg,school_logos/Florida_Tech_10001800.jpg,Florida_Tech_10001800.jpg
Fresno Pacific,534,https://s3.amazonaws.com/cstest/teams/534/fresno-pacific-university-logo.jpg.220x220_q95.jpg,school_logos/Fresno_Pacific_534.jpg,Fresno_Pacific_534.jpg
Frostburg State,233,https://s3.amazonaws.com/cstest/teams/233/frostburg-state-university-logo.jpg.220x220_q95.jpg,school_logos/Frostburg_State_233.jpg,Frostburg_State_233.jpg
Gannon,248,https://s3.amazonaws.com/cstest/mb/2025/11/43502415-fa74-4b1a-9ac1-fb6b8816a90e.jpg.220x220_q95.jpg,school_logos/Gannon_248.jpg,Gannon_248.jpg
Grand Valley,86,https://s3.amazonaws.com/cstest/mb/2023/11/e36db099-b347-470f-860a-591456abb3a8.jpg.220x220_q95.jpg,school_logos/Grand_Valley_86.jpg,Grand_Valley_86.jpg
Henderson State,58,https://s3.amazonaws.com/cstest/mb/2019/10/c96318de-3cbf-46.jpeg.220x220_q95.jpg,school_logos/Henderson_State_58.jpg,Henderson_State_58.jpg
Indiana (PA),79,https://s3.amazonaws.com/cstest/mb/2024/09/30e68eb7-b72a-4b50-94e8-f59993563393.jpg.220x220_q95.jpg,school_logos/Indiana_PA_79.jpg,Indiana_PA_79.jpg
King,614,https://s3.amazonaws.com/cstest/mb/2018/11/5322b657-c1a9-4d.jpeg.220x220_q95.jpg,school_logos/King_614.jpg,King_614.jpg
Kutztown,151,https://s3.amazonaws.com/cstest/teams/151/kutztown-university-logo.jpg.220x220_q95.jpg,school_logos/Kutztown_151.jpg,Kutztown_151.jpg
Lake Superior State,10037277,https://s3.amazonaws.com/cstest/mb/2023/03/Lake_State.jpg.220x220_q95.jpg,school_logos/Lake_Superior_State_10037277.jpg,Lake_Superior_State_10037277.jpg
